Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
A549,4,ALM,0,1,9,1,0.10867201536893845,0.0031255227513611317,0.11822373420000076,0.002271000761538744,,,,,,,1.5685899,5.692682,5.6210155,967,54680,55647,0.80172324,0.008737817,0.20418116,0.8561577,0.7424946,0.63477033,2.8424265,0,0.21227872,0.21054082,0.630616,0.03410213,0.017680356,0.64227253,2.8424265,0,0.21248114
A549,4,ALM,0,1,9,2,0.1268012523651123,0.005086133722215891,0.1461023986339569,0.0030403821729123592,,,,,,,1.1398509,3.0234888,2.9964707,1217,83630,84847,0.8396084,-0.22436023,0.35468653,0.94748265,0.8524137,0.47351417,1.9336457,0,0.096384965,0.1833068,0.37089893,0.064051114,0.00268309,0.47773725,1.9336457,0,0.09650511
A549,4,ALM,1,1,9,1,0.10648466646671295,0.023997073993086815,0.29661691188812256,0.010448286309838295,0.22737912833690643,0.0016449934337288141,0.3655145764350891,0.11102233827114105,0.2598448395729065,0.2800767123699188,0.59646565,0.5984926,0.59846395,2061,144226,146287,0.6010149,0.23792213,0.5863476,0.97766614,0.84357935,1.180731,8.485772,0,2.920834,2.6027508,4.84719,1.5129058,0.22829865,1.1604104,8.485772,0,2.930001
A549,4,ALM,1,1,9,2,0.14671587944030762,0.014411206357181072,0.21117271482944489,0.00713097071275115,0.14306896924972534,0.001491738366894424,0.307268351316452,0.016216473653912544,0.1743863970041275,0.19452621042728424,0.8978694,1.4449992,1.4348893,2863,152080,154943,0.8070967,0.3029508,0.4785506,0.96197224,0.8693021,1.533407,6.4054847,0,1.635975,1.3079379,3.1362448,0.6264939,0.13073336,1.5376517,6.4054847,0,1.6633369
A549,4,ALM,1,1,9,3,0.050245437771081924,0.006292895879596472,0.15413536131381989,0.0032912837341427803,0.12074744701385498,0.002643508603796363,0.3170737624168396,0,0.1609455943107605,0.18830479681491852,0.87654895,0.9395472,0.9375024,3621,107930,111551,0.80261844,-0.13698767,0.5532384,0.9469168,0.9230872,0.4877224,3.3039386,0,0.54883885,1.1978756,2.607773,0,0.13692002,0.46389744,3.3039386,0,0.54517126
A549,4,ALM,10,1,9,1,0.08555649220943451,0.023020301014184952,0.33720657229423523,0.005872596520930529,0.22157146036624908,0.0009901656303554773,0.32899534702301025,0.1379014402627945,0.2458919882774353,0.2621687650680542,0.7784833,1.4742268,1.4717609,200,56231,56431,0.99455994,0.13497515,0.49164164,0.9950722,0.8992056,1.0039608,6.874967,0,3.2177515,2.3327873,2.9291384,1.8967627,0.044024695,0.9992347,6.874967,0,3.2227368
A549,4,ALM,11,1,9,1,0.20009146630764008,0.0034781654831022024,0.20499195158481598,0.002558790845796466,0.14694570004940033,0.0005070163169875741,0.2194978892803192,0.07367513328790665,0.165031298995018,0.17563848197460175,1.2752424,2.6032584,2.5778544,909,46610,47519,0.9798028,-0.15641162,0.7521761,0.9719539,0.94123733,1.5658009,3.8150656,0,0.29003328,0.8173674,1.1858757,0.43664303,0.024232138,1.5803968,3.8150656,0,0.28407982
A549,4,ALM,11,1,9,2,0.23141710460186005,0.005465124733746052,0.23801949620246887,0.004049545153975487,0.1661534607410431,0.0008841493399813771,0.2594042420387268,0.07765176892280579,0.1903247833251953,0.2044268101453781,0.5452896,0.9069145,0.9029206,1200,107455,108655,0.19015916,0.15845439,0.4827988,0.94877195,0.8424113,3.2098186,9.683933,0,1.7794853,1.9510694,4.031315,1.1569176,0.27015007,3.2238758,9.683933,0,1.7784489
A549,4,ALM,11,1,9,3,0.22193369269371033,0.003815213916823268,0.22196783125400543,0.0038082199171185493,0.1388659030199051,0.00029821667703799903,0.21899189054965973,0.0934215858578682,0.15263785421848297,0.16167667508125305,0.6191224,1.8572297,1.8438945,1400,128583,129983,0.92445964,0.3623755,0.38892472,0.98827064,0.8315893,2.3028722,6.309895,0,0.65802795,0.9896014,1.4129831,0.71360344,0.016461577,2.317171,6.309895,0,0.64603066
A549,4,ALM,11,1,9,4,0.467795193195343,0.06304115802049637,0.5794728398323059,0.013376937247812748,,,,,,,0.5201024,0.9025838,0.897517,837,62346,63183,0.6085979,-0.037276037,0.41919842,0.86051935,0.8816294,6.8532205,13.737252,0,14.258069,6.423278,10.28112,3.2704322,3.406069,6.8589916,13.737252,0,14.40124
A549,4,ALM,12,1,9,1,0.04667240381240845,0.007499690167605877,0.18634077906608582,0.003916793968528509,0.14878098666667938,0.0017809992423281074,0.27205392718315125,0.026707952842116356,0.18266482651233673,0.2035885751247406,0.7864797,1.3025578,1.2973418,907,88836,89743,0.62045956,0.73840976,0.25075808,0.991729,0.8836631,0.64048165,5.8709455,0,1.367221,1.838748,2.601692,1.1563852,0.06857285,0.6282477,5.8709455,0,1.3656706
A549,4,ALM,12,1,9,2,0.04033960402011871,0.00556036876514554,0.1569247990846634,0.0033352416940033436,0.10564639419317245,0.0010538081405684352,0.24515627324581146,0,0.130836620926857,0.14650766551494598,0.6318392,1.3146281,1.3093809,977,126158,127135,0.7442441,0.77058864,0.26629096,0.9918749,0.8229694,0.5063902,6.5561357,0,0.8645495,1.1885929,1.8503461,0.8039147,0.03035292,0.5011071,6.5561357,0,0.86737746
A549,4,ALM,13,1,9,1,0.02382069081068039,0.002094832481816411,0.09092432260513306,0.001894689747132361,,,,,,,0.36318856,1.0545005,1.0412804,1200,61551,62751,0.6469909,-0.03408923,0.1526672,0.9703518,0.8279764,0.06931467,1.7757455,0,0.018486071,0.16013408,0.34338304,0,0.001424538,0.06754407,1.7757455,0,0.01865476
A549,4,ALM,13,1,9,2,0.04793700948357582,0.009292412549257278,0.21980732679367065,0.004830484744161367,0.16225393116474152,0.002945264335721731,0.35826393961906433,0,0.2039128690958023,0.2374793291091919,0.74778634,1.2856982,1.2808666,555,61236,61791,0.79311246,0.92192733,0.39360562,0.98692775,0.86110586,0.42611355,4.8900805,0,0.746635,1.1777451,2.5926588,0,0.17701308,0.4193014,4.8900805,0,0.74663097
A549,4,ALM,13,1,9,3,0.06181614100933075,0.005833013914525509,0.1339706927537918,0.00297497003339231,0.11745018512010574,0.0017570474883541465,0.25315791368484497,0.03169061988592148,0.15022505819797516,0.17107176780700684,1.003177,3.3343818,3.3097126,800,74799,75599,0.5330241,0.7063174,0.16437626,0.9435051,0.77215767,0.46999156,3.6810963,0,0.42059726,0.37930787,0.7684177,0.17868473,0.015911186,0.47096148,3.6810963,0,0.42483664
A549,4,ALM,14,1,9,1,0.026706546545028687,0.0026619459968060255,0.10490568727254868,0.0022528250701725483,,,,,,,0.67017436,2.0652103,2.0490463,1200,102367,103567,0.38503617,0.5184454,0.110995956,0.98139435,0.7964638,0.116356276,1.8845633,0,0.055684533,0.2119826,0.6572873,0,0.003807817,0.115235336,1.8845633,0,0.056184206
A549,4,ALM,14,1,9,2,0.03303969278931618,0.004246231634169817,0.14091947674751282,0.00290848221629858,0.10999729484319687,0.0011246210196986794,0.203125,0,0.13672561943531036,0.1529548019170761,0.75426435,0.92858106,0.9268016,400,38783,39183,0.4584279,0.038844302,0.12574573,0.9940715,0.8747259,0.45103127,4.594167,0,0.72371614,1.4977658,1.9074864,1.0550674,0.028991077,0.4402357,4.594167,0,0.7194646
A549,4,ALM,15,1,9,1,0.08688667416572571,0.006841184105724096,0.13928230106830597,0.0036688712425529957,0.09065526723861694,0.0009423742885701358,0.20550894737243652,0.01051837857812643,0.11480028182268143,0.13008061051368713,1.2931584,3.0588634,3.0312514,2406,151449,153855,0.7846169,-0.11159961,0.34992808,0.9352494,0.8613514,0.82709223,3.582588,0,0.6051317,0.6049408,1.2973549,0.25455567,0.042061266,0.8306214,3.582588,0,0.6132803
A549,4,ALM,16,1,9,1,0.038586001843214035,0.004461686126887798,0.13626214861869812,0.002446383936330676,0.100166916847229,0.0011487678857520223,0.21415743231773376,0,0.12683115899562836,0.14510498940944672,0.93852586,1.5116862,1.5048397,723,59804,60527,0.7931165,-0.11363256,0.3432338,0.96199405,0.86718756,0.30549607,2.9667647,0,0.2781322,0.70956194,1.3938669,0.36610276,0.040281374,0.30061123,2.9667647,0,0.27900997
A549,4,ALM,17,1,9,1,0.061549413949251175,0.010465653613209724,0.20696398615837097,0.005095872562378645,0.11706631630659103,0.0015102106845006347,0.269278883934021,0.0289677232503891,0.14574715495109558,0.16859517991542816,0.6759818,2.35319,2.340286,800,103183,103983,0.8846275,0.8548608,0.21527818,0.99008226,0.78225785,0.4117246,4.447378,0,0.50403845,0.59115934,1.320781,0.4041198,0.017067961,0.4103334,4.447378,0,0.5075625
