ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,0,1,2,18,control,0.17484146164686615,-0.0677968504949246
1,A549,0,1,2,19,control,0.15660008013150684,-0.0860382320102839
2,A549,0,1,2,19,control,0.22045281717062165,-0.02218549497116909
3,A549,0,1,2,19,control,0.45138565664082425,0.2087473444990335
4,A549,0,1,2,19,control,0.5086487481675684,0.2660104360257777
1,A549,0,1,2,2,control,0.15786681963932264,-0.0847714925024681
2,A549,0,1,2,2,control,0.13885689774221224,-0.1037814143995785
3,A549,0,1,2,2,control,0.15566398267425455,-0.0869743294675362
4,A549,0,1,2,2,control,0.12685675786048764,-0.1157815542813031
5,A549,0,1,2,2,control,0.24529108699392524,0.0026527748521344985
1,A549,0,1,2,3,control,0.20929908339193942,-0.03333922874985132
2,A549,0,1,2,3,control,0.2729031567652873,0.030264844623496573
3,A549,0,1,2,3,control,0.23616558110934766,-0.006472731032443085
4,A549,0,1,2,3,control,0.34761068509835547,0.10497237295656472
1,A549,0,1,2,4,control,0.12758769805434733,-0.11505061408744341
2,A549,0,1,2,4,control,0.31562087916986614,0.0729825670280754
3,A549,0,1,2,4,control,0.15828489805212972,-0.08435341408966102
1,A549,0,1,2,5,control,0.35732049810954136,0.11468218596775062
2,A549,0,1,2,5,control,0.39523622160202715,0.1525979094602364
1,A549,0,1,2,6,control,0.05138561148192693,-0.19125270065986383
1,A549,0,1,2,7,control,0.21319352211031087,-0.029444790031479873
2,A549,0,1,2,7,control,0.19468238365593868,-0.04795592848585206
1,A549,0,1,2,8,control,0.14768693225136725,-0.09495137989042349
2,A549,0,1,2,8,control,0.2778201299883027,0.03518181784651195
1,A549,0,1,2,9,control,0.23794397345418034,-0.004694338687610405
2,A549,0,1,2,9,control,0.047955073630665736,-0.194683238511125
3,A549,0,1,2,9,control,0.12038817107920323,-0.12225014106258751
1,A549,0,3,2,0,control,0.2675350170118917,0.024896704870100955
1,A549,0,3,2,1,control,0.1133233534918094,-0.12931495864998133
2,A549,0,3,2,1,control,0.16650882310654533,-0.07612948903524541
3,A549,0,3,2,1,control,0.2719445073187319,0.029306195176941136
4,A549,0,3,2,1,control,0.1376286353535932,-0.10500967678819753
5,A549,0,3,2,1,control,0.20797972316697594,-0.0346585889748148
6,A549,0,3,2,1,control,0.13051989662516156,-0.11211841551662918
1,A549,0,3,2,10,control,0.2658051055251116,0.023166793383320866
2,A549,0,3,2,10,control,0.21164472278408253,-0.030993589357708212
3,A549,0,3,2,10,control,0.2209560944989155,-0.02168221764287523
4,A549,0,3,2,10,control,0.18323951988819712,-0.059398792253593624
1,A549,0,3,2,11,control,0.42531759932880114,0.1826792871870104
2,A549,0,3,2,11,control,0.4285551321346535,0.18591681999286278
1,A549,0,3,2,12,control,0.18178328137272673,-0.06085503076906401
2,A549,0,3,2,12,control,0.1997590599871039,-0.04287925215468685
3,A549,0,3,2,12,control,0.21020213139012206,-0.03243618075166868
1,A549,0,3,2,13,control,0.19648907900150786,-0.04614923314028288
2,A549,0,3,2,13,control,0.27587515869766993,0.03323684655587919
3,A549,0,3,2,13,control,0.16580233307595302,-0.07683597906583772
1,A549,0,3,2,14,control,0.2085051121560113,-0.03413319998577943
2,A549,0,3,2,14,control,0.1670287364483223,-0.07560957569346843
1,A549,0,3,2,2,control,0.194424814750712,-0.04821349739107875
2,A549,0,3,2,2,control,0.169874794007088,-0.07276351813470275
3,A549,0,3,2,2,control,0.31947572511552735,0.07683741297373661
1,A549,0,3,2,4,control,0.20452068222587944,-0.038117629915911305
2,A549,0,3,2,4,control,0.32901060728327813,0.08637229514148739
3,A549,0,3,2,4,control,0.13459453843952465,-0.10804377370226609
4,A549,0,3,2,4,control,0.2353437141776463,-0.007294597964144445
5,A549,0,3,2,4,control,0.15231722895924688,-0.09032108318254387
1,A549,0,3,2,5,control,0.3228596172264616,0.08022130508467087
2,A549,0,3,2,5,control,0.2505118289049553,0.007873516763164584
3,A549,0,3,2,5,control,0.4230957736428057,0.18045746150101497
4,A549,0,3,2,5,control,0.23231026666254023,-0.010328045479250508
1,A549,0,3,2,6,control,0.2934163957467432,0.05077808360495248
2,A549,0,3,2,6,control,0.2220296624459907,-0.020608649695800035
3,A549,0,3,2,6,control,0.2963701679622364,0.05373185582044568
1,A549,0,3,2,7,control,0.17546829622989557,-0.06717001591189517
2,A549,0,3,2,7,control,0.1727303463008474,-0.06990796584094333
3,A549,0,3,2,7,control,0.08885752008809895,-0.15378079205369177
4,A549,0,3,2,7,control,0.4295157304603544,0.18687741831856367
1,A549,0,3,2,8,control,0.19482954263756772,-0.047808769504223025
2,A549,0,3,2,8,control,0.2903338114467705,0.047695499304979766
3,A549,0,3,2,8,control,0.4095876547638104,0.1669493426220197
4,A549,0,3,2,8,control,0.13622444261864392,-0.10641386952314683
5,A549,0,3,2,8,control,0.25828924488870564,0.015650932746914897
1,A549,0,3,2,9,control,0.6623665164768907,0.41972820433509994
2,A549,0,3,2,9,control,0.7850570078670452,0.5424186957252545
3,A549,0,3,2,9,control,0.22941435405700356,-0.013223958084787185
4,A549,0,3,2,9,control,0.10502922023026388,-0.13760909191152687
5,A549,0,3,2,9,control,0.20372231485466868,-0.038915997287122056
6,A549,0,3,2,9,control,0.05722470917769695,-0.1854136029640938
